AKG,0.640,0.652,0.981733
AKR,27.570,27.725,0.994424
AKRX,5.070,3.873,1.308993
AKS,2.270,2.561,0.886296
AKTS,5.820,6.635,0.877101
AKTX,2.030,2.555,0.794566
AL,41.450,37.080,1.117851
ALAC,10.100,9.967,1.013311
ALB,70.510,77.490,0.909921
ALBO,31.870,30.122,1.058029
ALC,60.860,35.447,1.716921
ALCO,30.290,28.676,1.056294
ALDR,11.400,12.443,0.916160
ALDX,5.960,7.944,0.750222
ALE,86.070,80.584,1.068072
ALEC,19.060,0.000,
ALEX,23.420,23.228,1.008255
ALG,96.710,94.720,1.021009
ALGN,273.290,269.483,1.014128
ALGR,10.050,9.942,1.010826
ALGT,144.730,133.309,1.085669
ALIM,0.880,0.968,0.909077
ALJJ,1.560,1.559,1.000636
ALK,64.070,61.020,1.049989
ALKS,22.720,29.925,0.759221
ALL,104.490,94.160,1.109708
ALLE,110.990,93.793,1.183353
ALLK,42.410,41.067,1.032704
ALLO,26.780,28.337,0.945056
ALLT,7.830,7.284,1.074918
ALLY,31.510,27.818,1.132735
ALNA,4.950,6.273,0.789104
ALNY,72.190,79.673,0.906081
ALO,0.800,0.751,1.065257
ALOT,25.950,22.545,1.151010
ALPN,4.300,5.900,0.728874
ALRM,52.310,60.705,0.861714
ALRN,0.700,1.396,0.501479
ALSK,1.690,1.770,0.954720
ALSN,46.000,46.310,0.993316
ALT,2.420,2.791,0.867087
ALTM,3.660,6.130,0.597101
ALTR,41.570,35.516,1.170470
ALV,67.750,74.934,0.904128
ALX,374.560,363.983,1.029058
ALXN,130.300,126.156,1.032851
ALYA,2.750,2.930,0.938493
AM,11.920,12.848,0.927775
AMAG,10.000,12.783,0.782309
AMAL,17.820,17.403,1.023976
AMAT,43.980,40.034,1.098569
AMBA,44.500,42.137,1.056088
AMBC,17.080,18.014,0.948161
AMBO,3.460,5.384,0.642703
AMBR,13.050,10.089,1.293536
AMC,9.400,13.599,0.691235
AMCI,9.940,8.588,1.157438
AMCR,11.610,10.695,1.085597
AMCX,56.160,58.677,0.957102
AMD,31.500,25.657,1.227734
AME,91.090,80.930,1.125544
AMED,122.010,121.813,1.001614
AMEH,15.840,18.596,0.851812
AMG,91.050,101.653,0.895696
AMGN,185.940,185.136,1.004345
AMH,25.120,22.945,1.094783
AMID,5.220,4.674,1.116878
AMKR,7.400,7.995,0.925592
AMN,54.440,53.163,1.024016
AMNB,37.870,34.802,1.088159
AMOT,37.400,38.768,0.964717
AMOV,14.880,14.855,1.001686
AMP,150.120,134.188,1.118731
AMPE,0.430,0.542,0.793492
AMPH,20.880,21.588,0.967220
AMR,0.151,0.471,0.320756
AMRB,12.300,13.102,0.938816
AMRC,14.670,15.442,0.950026
AMRH,0.360,0.317,1.134472
AMRK,12.810,12.303,1.041175
AMRN,23.160,18.181,1.273869
AMRS,3.430,3.918,0.875512
AMRX,6.660,11.599,0.574198
AMS,2.950,2.728,1.081463
AMSC,9.640,11.991,0.803957
AMSF,64.380,59.665,1.079018
AMSWA,13.380,12.192,1.097422
AMT,209.040,188.288,1.110214
AMTB,19.390,16.064,1.207066
AMTBB,15.480,12.481,1.240331
AMTD,51.230,52.817,0.969954
AMTX,0.902,0.933,0.966972
AMWD,84.370,79.202,1.065254
AMX,14.950,14.916,1.002293
AMZN,1942.910,1763.923,1.101471
AN,42.010,38.106,1.102444
ANAB,53.760,69.876,0.769367
ANAT,124.020,126.250,0.982333
ANCN,4.452,0.000,
ANDA,9.910,0.000,
ANDE,27.270,31.981,0.852682
ANDX,36.860,35.238,1.046027
ANET,270.740,264.297,1.024376
ANF,17.150,22.522,0.761481
ANFI,0.720,1.093,0.658889
ANGI,12.930,15.722,0.822391
ANGO,20.430,20.978,0.973863
ANH,3.710,4.147,0.894585
ANIK,41.160,35.472,1.160365
ANIP,83.430,65.152,1.280546
ANIX,3.650,4.453,0.819747
ANSS,209.510,180.033,1.163734
ANTE,1.600,1.976,0.809735
ANTM,284.060,280.642,1.012179
ANY,1.510,2.419,0.624162
AOBC,9.100,10.489,0.867537
AON,197.580,171.957,1.149009
AOS,47.010,49.140,0.956650
AOSL,8.940,10.668,0.837983
AP,3.850,3.759,1.024310
APA,27.180,31.582,0.860613
APAM,27.820,25.535,1.089470
APC,71.040,56.523,1.256826
APD,230.580,190.399,1.211038
APDN,0.520,0.572,0.908873
APEI,29.540,30.620,0.964731
APEN,3.170,3.513,0.902447
APH,98.320,92.789,1.059608
APHA,6.850,8.070,0.848791
APLE,15.810,16.061,0.984349
APLS,25.440,18.195,1.398183
APLT,8.120,0.000,
APM,23.750,18.046,1.316071
APO,35.780,30.171,1.185913
APOG,43.260,36.976,1.169959
APOP,0.541,1.227,0.440850
APPF,103.080,81.070,1.271494
APPN,36.350,33.913,1.071866
APPS,5.260,3.413,1.541108
APRN,7.300,14.833,0.492148
APT,3.370,3.729,0.903670
APTO,3.010,2.048,1.469497
APTS,15.290,15.597,0.980310
APTV,79.190,77.688,1.019337
APTX,3.760,5.577,0.674195
APU,34.840,32.078,1.086087
APVO,0.880,1.093,0.804842
APWC,2.110,2.213,0.953368
APY,31.970,36.290,0.880961
APYX,7.240,0.000,
AQ,13.150,10.195,1.289814
AQMS,1.860,2.444,0.761009
AQN,12.320,11.307,1.089574
AQST,4.910,6.003,0.817912
AQUA,14.300,12.451,1.148482
AQXP,2.360,2.534,0.931491
AR,5.540,8.249,0.671565
ARA,7.280,9.054,0.804027
ARAV,5.720,5.681,1.006809
ARAY,3.810,4.257,0.894992
ARC,2.060,2.295,0.897439
ARCB,27.240,32.411,0.840460
ARCE,44.760,31.525,1.419827
ARCH,90.990,89.756,1.013753
ARCI,4.090,3.336,1.226176
ARCO,7.510,7.552,0.994390
ARCT,9.540,6.299,1.514598
ARCW,0.290,0.798,0.363610
ARD,17.780,13.547,1.312458
ARDS,10.300,9.486,1.085851
ARDX,2.700,2.782,0.970570
ARE,145.000,137.787,1.052351
AREC,3.536,5.456,0.648055
ARES,27.120,23.617,1.148317
AREX,0.330,0.615,0.536352
ARGO,74.550,70.742,1.053834
ARGX,140.420,122.339,1.147792
ARI,18.440,18.281,1.008690
ARKR,20.200,19.658,1.027579
ARL,16.140,12.734,1.267514
ARLO,4.340,4.841,0.896539
ARLP,17.690,18.672,0.947389
ARMK,36.310,31.783,1.142441
ARMP,3.860,3.793,1.017773
ARNA,61.890,48.968,1.263884
ARNC,26.100,20.467,1.275217
AROC,10.420,9.675,1.077032
AROW,34.450,33.576,1.026020
ARPO,0.900,1.887,0.476988
ARQL,11.270,5.557,2.027981
ARR,18.850,19.622,0.960672
ARRY,46.870,24.945,1.878908
ARTNA,36.710,36.589,1.003296
ARTW,2.150,2.067,1.040297
ARTX,1.890,2.810,0.672616
ARVN,26.970,19.405,1.389851
ARW,71.230,74.907,0.950907
ARWR,26.530,19.323,1.372952
ARYA,10.130,9.860,1.027425
ASB,21.440,21.793,0.983824
ASC,8.600,6.271,1.371310
ASCMA,0.930,0.745,1.247619
ASFI,7.300,5.186,1.407711
ASGN,58.900,61.057,0.964676
ASH,79.170,77.067,1.027286
ASIX,25.260,28.986,0.871463
ASLN,3.370,3.694,0.912301
ASM,0.580,0.573,1.011852
ASMB,14.680,18.394,0.798094
ASML,209.750,188.090,1.115158
ASNA,0.500,1.628,0.307079
ASND,112.380,103.256,1.088367
ASPN,6.940,3.825,1.814506
ASPS,21.920,23.125,0.947881
ASPU,4.290,4.666,0.919468
ASR,163.770,164.885,0.993239
ASRT,3.340,4.096,0.815500
ASRV,4.100,4.127,0.993507
ASRVP,29.040,29.272,0.992075
ASTC,2.620,4.018,0.652076
ASTE,31.540,35.214,0.895675
ASUR,9.590,6.474,1.481317
ASV,6.890,2.868,2.402134
ASX,4.190,4.050,1.034646
ASYS,5.940,5.514,1.077234
AT,2.440,2.457,0.993041
ATAI,2.530,1.621,1.560699
ATAX,7.010,6.729,1.041711
ATEC,4.270,2.890,1.477626
ATEN,7.120,6.668,1.067772
ATEX,47.980,40.932,1.172199
ATGE,45.540,46.929,0.970397
ATH,44.240,42.959,1.029808
ATHE,1.300,1.626,0.799643
ATHM,85.560,90.717,0.943148
ATHX,1.620,1.583,1.023289
ATI,25.250,25.258,0.999665
ATIF,2.930,0.000,
ATIS,1.670,1.337,1.249258
ATKR,25.830,23.392,1.104228
ATLC,4.060,3.563,1.139570
ATLO,27.100,26.711,1.014561
ATNI,59.900,63.145,0.948606
ATNM,0.248,0.425,0.583268
ATNX,19.600,13.220,1.482654
ATO,107.110,99.982,1.071298
ATOM,4.510,3.652,1.234922
ATOS,2.290,2.284,1.002607
ATR,124.610,107.321,1.161100
ATRA,19.740,32.278,0.611565
ATRC,31.410,29.819,1.053352
ATRI,817.650,833.961,0.980441
ATRO,40.870,34.985,1.168214
ATRS,3.390,3.065,1.106132
ATSG,23.580,22.998,1.025285
ATTO,2.440,3.498,0.697508
ATU,24.080,23.916,1.006846
ATUS,24.640,21.961,1.121974
ATV,19.800,26.315,0.752430
ATVI,48.150,45.674,1.054216
ATXI,6.230,5.424,1.148654
AU,17.740,13.535,1.310702
AUB,35.400,33.989,1.041502
AUBN,33.380,34.943,0.955262
AUDC,15.670,14.170,1.105857
AUG,1.680,1.356,1.238952
AUMN,0.290,0.285,1.016319
AUO,2.970,3.505,0.847444
AUPH,6.450,6.501,0.992191
AUTL,16.540,25.193,0.656521
AUTO,3.790,3.531,1.073283
AUY,2.530,2.395,1.056351
AVA,44.580,41.956,1.062533
AVAL,8.230,7.396,1.112770
AVAV,56.310,70.035,0.804028
AVB,207.870,196.699,1.056791
AVCO,2.410,3.659,0.658618
AVD,15.510,16.371,0.947407
AVDL,2.220,2.009,1.105107
AVDR,20.080,0.000,
AVEO,0.680,0.951,0.715387
AVGO,282.660,281.062,1.005686
AVGR,2.950,5.327,0.553820
AVH,4.030,4.143,0.972820
AVID,9.940,6.744,1.473893
AVLR,79.560,55.753,1.426997
AVNS,44.000,43.747,1.005776
AVNW,13.330,13.708,0.972402
AVP,4.040,2.929,1.379415
AVRO,15.280,16.601,0.920452
AVT,44.760,43.331,1.032975
AVTR,19.180,0.000,
AVX,16.350,16.911,0.966849
AVXL,3.470,2.754,1.260192
AVY,120.480,106.419,1.132129
AVYA,11.540,15.333,0.752645
AWI,99.830,79.818,1.250714
AWK,117.960,104.401,1.129871
AWR,75.820,70.374,1.077387
AWRE,3.270,3.506,0.932597
AWSM,2.230,2.522,0.884197
AWX,2.550,2.572,0.991335
AX,26.990,29.493,0.915143
AXAS,1.070,1.232,0.868410
AXDX,23.470,19.112,1.228045
AXE,59.580,58.576,1.017140
AXGN,19.890,19.854,1.001838
AXGT,6.420,8.672,0.740319
AXL,11.740,13.614,0.862340
AXLA,9.260,0.000,
AXNX,40.800,23.572,1.730868
AXP,125.400,111.416,1.125509
AXR,6.650,5.832,1.140308
AXS,61.000,56.794,1.074052
AXSM,27.040,14.843,1.821775
AXTA,30.290,26.191,1.156511
AXTI,4.120,4.465,0.922803
AXU,1.160,1.111,1.043681
AY,23.180,20.174,1.149014
AYI,130.690,130.784,0.999280
AYR,21.210,20.028,1.059000
AYTU,1.850,1.571,1.177485
AYX,115.980,82.183,1.411240
AZN,40.940,39.335,1.040794
AZO,1130.310,977.487,1.156343
AZPN,127.970,106.742,1.198871
AZRE,10.590,10.858,0.975277
AZRX,1.450,2.137,0.678596
AZUL,38.050,29.538,1.288190
AZZ,46.100,44.453,1.037040
B,55.980,55.620,1.006474
BA,355.860,372.752,0.954682
BABA,173.300,169.812,1.020542
BABY,25.630,27.703,0.925164
BAC,29.260,28.482,1.027330
BAH,67.980,56.833,1.196133
BAM,48.800,45.480,1.072994
BANC,14.260,14.473,0.985305
BAND,75.460,62.773,1.202105
BANF,56.670,54.776,1.034581
BANFP,26.830,26.772,1.002176
BANR,55.280,55.137,1.002590
BAP,238.370,233.475,1.020967
BAS,1.910,3.668,0.520772
BASI,2.000,1.775,1.126736
BATRA,28.060,27.451,1.022180
BATRK,28.070,27.412,1.024002
BAX,82.010,75.233,1.090075
BB,7.410,8.482,0.873648
BBAR,12.040,10.618,1.133906
BBBY,11.470,14.769,0.776630
BBCP,5.490,7.014,0.782763
BBD,10.240,9.319,1.098840
BBDO,9.140,9.033,1.011831
BBGI,3.110,3.895,0.798561
