A,69.500,75.137,0.924972
AA,23.130,26.028,0.888647
AABA,71.010,70.306,1.010017
AAC,0.988,1.783,0.554020
AAL,31.240,33.005,0.946527
AAMC,11.000,24.520,0.448622
AAME,2.310,2.532,0.912355
AAN,64.080,55.563,1.153292
AAOI,9.310,12.123,0.767987
AAON,51.760,45.314,1.142264
AAP,152.620,161.342,0.945941
AAPL,207.740,188.478,1.102195
AAT,46.940,45.382,1.034321
AAU,0.760,0.600,1.266344
AAWW,45.680,46.692,0.978331
AAXN,69.500,60.222,1.154068
AB,29.740,29.402,1.011494
ABB,18.680,19.384,0.963702
ABBV,67.760,78.034,0.868344
ABC,86.120,81.171,1.060972
ABCB,39.760,37.329,1.065132
ABEO,3.180,6.493,0.489737
ABEV,5.240,4.589,1.141897
ABG,89.500,75.953,1.178359
ABIL,0.777,1.496,0.519398
ABIO,6.800,7.431,0.915115
ABM,42.010,37.317,1.125755
ABMD,272.660,291.109,0.936625
ABR,12.110,12.666,0.956124
ABT,87.750,78.661,1.115540
ABTX,35.290,35.154,1.003872
ABUS,1.800,2.968,0.606497
AC,36.830,39.773,0.926016
ACA,36.450,33.308,1.094344
ACAD,23.340,25.124,0.929007
ACAM,9.770,0.000,
ACB,6.410,7.983,0.802959
ACBI,18.290,17.877,1.023084
ACC,46.740,46.621,1.002549
ACCO,8.130,8.416,0.966049
ACER,2.850,18.498,0.154074
ACGL,38.200,33.635,1.135738
ACH,8.290,9.350,0.886638
ACHC,33.200,31.005,1.070799
ACHN,4.650,2.795,1.663526
ACHV,1.850,2.797,0.661490
ACIA,65.100,52.608,1.237443
ACIU,5.490,5.225,1.050741
ACIW,33.510,32.557,1.029273
ACLS,15.970,18.614,0.857979
ACM,36.880,32.648,1.129614
ACMR,17.790,15.238,1.167463
ACN,196.930,174.326,1.129662
ACNB,37.600,37.496,1.002771
ACOR,6.780,11.404,0.594506
ACRE,15.190,14.953,1.015862
ACRS,1.750,5.360,0.326511
ACRX,2.440,2.951,0.826883
ACST,2.310,1.059,2.181287
ACTG,2.750,3.070,0.895632
ACTT,9.780,0.000,
ACTTW,0.880,0.000,
ACU,21.040,19.093,1.101998
ACY,8.050,10.090,0.797856
ADAP,3.180,4.124,0.771145
ADBE,311.270,274.070,1.135733
ADC,67.230,66.196,1.015614
ADES,12.970,12.141,1.068302
ADI,121.800,107.774,1.130145
ADIL,1.870,3.018,0.619691
ADM,40.590,41.894,0.968876
ADMA,3.640,4.032,0.902790
ADMP,1.180,2.078,0.567975
ADMS,6.010,6.985,0.860368
ADNT,23.640,19.755,1.196638
ADOM,0.247,0.332,0.743241
ADP,169.270,157.793,1.072736
ADRO,1.360,3.037,0.447875
ADS,158.870,159.112,0.998481
ADSK,167.990,163.105,1.029948
ADSW,32.400,29.705,1.090724
ADT,6.300,6.696,0.940899
ADTN,11.430,15.087,0.757620
ADUS,80.680,68.491,1.177960
ADVM,13.780,7.591,1.815364
ADXS,0.659,3.928,0.167765
AE,32.280,36.614,0.881629
AEE,76.590,73.022,1.048861
AEG,5.000,5.016,0.996774
AEGN,18.700,17.630,1.060678
AEHR,1.460,1.519,0.961250
AEIS,59.560,52.369,1.137307
AEL,26.200,29.081,0.900937
AEM,53.750,44.631,1.204330
AEMD,0.300,0.737,0.407001
AEO,17.530,20.025,0.875427
AEP,88.950,84.760,1.049435
AER,50.860,47.964,1.060369
AERI,22.800,38.897,0.586163
AES,16.940,17.082,0.991706
AETI,0.890,0.812,1.096595
AEY,1.710,1.428,1.197210
AEYE,6.500,9.009,0.721463
AEZS,2.470,3.566,0.692662
AFG,103.670,99.667,1.040160
AFH,0.510,3.073,0.165983
AFI,8.540,12.480,0.684320
AFIN,11.720,10.982,1.067173
AFINP,25.750,0.000,
AFL,53.890,51.137,1.053826
AFMD,2.990,3.412,0.876391
AG,9.820,6.682,1.469690
AGBAU,10.020,0.000,
AGCO,75.790,70.033,1.082201
AGE,2.550,3.852,0.661970
AGEN,2.400,2.897,0.828415
AGFS,1.550,2.975,0.521002
AGI,6.630,5.079,1.305295
AGIO,45.590,54.757,0.832587
AGLE,8.360,7.439,1.123829
AGM,75.720,73.914,1.024428
AGMH,16.900,20.212,0.836154
AGN,160.980,144.595,1.113313
AGNC,17.410,17.537,0.992783
AGNCB,25.860,25.541,1.012488
AGNCN,26.120,25.883,1.009161
AGO,43.830,43.376,1.010471
AGR,48.970,50.162,0.976239
AGRO,6.890,6.953,0.990932
AGRX,1.300,1.294,1.004791
AGS,18.940,22.543,0.840162
AGTC,3.950,3.881,1.017861
AGX,41.340,45.828,0.902059
AGYS,24.100,20.595,1.170215
AHC,3.650,3.829,0.953174
AHH,16.780,15.948,1.052153
AHPI,1.550,1.789,0.866513
AHT,2.600,4.514,0.575931
AI,6.610,7.614,0.868185
AIG,57.270,48.175,1.188797
AIHS,1.380,3.833,0.360074
AIMC,28.450,33.070,0.860284
AIMT,18.790,21.435,0.876621
AIN,79.040,74.852,1.055945
AINC,33.710,49.340,0.683213
AIR,42.270,35.145,1.202720
