ACHN,Health Care,Major Pharmaceuticals,377.33,2.71,2.681,1.01065,51,\N,21,\N,\N,\N,\N,\N,\N,37,\N,\N
ACIW,Technology,Computer Software: Prepackaged Software,3580,34.86,31.81,1.09589,77,3.8,75,-0.17,-0.13,0.13,0.74,-0.22,-0.0520833,63,\N,2019-07-05 17:00:51
ACRS,Health Care,Major Pharmaceuticals,181.6,2.36,5.947,0.396855,4,6.58,87,-0.98,-1.01,-1.06,-0.99,-0.91,\N,37,\N,2019-07-05 17:01:05
ACMR,Technology,Industrial Machinery/Components,248.46,16.48,14.448,1.14063,85,3.12,70,-0.18,0.18,0.21,0.13,0.1,0.717949,93,\N,2019-07-05 17:01:19
ACNB,Finance,Major Banks,251.67,38.1,37.572,1.01404,52,3.65,74,0.7,0.78,0.86,0.75,0.83,0.8125,95,\N,2019-07-05 17:01:33
ACOR,Health Care,Biotechnology: Biological Products (No Diagnostic ,339.58,7.36,12.493,0.589138,6,0.87,43,-0.18,0.98,-0.29,0.2,-1,-0.414141,50,\N,2019-07-05 17:01:46
ACTT,Finance,Business Services,291.9,9.8,0,0,2,\N,21,\N,\N,\N,\N,\N,\N,37,\N,\N
ACTTW,Finance,Business Services,15.01,0,0,0,2,\N,21,\N,\N,\N,\N,\N,\N,37,\N,\N
ATVI,Technology,Computer Software: Prepackaged Software,35390,48.15,45.674,1.05422,66,4.94,82,0.65,0.52,0.34,0.84,0.58,-0.14,59,\N,2019-07-05 17:02:01
ADMS,Health Care,Major Pharmaceuticals,161.62,6,7.33,0.818515,17,3.78,75,-1.35,-1.26,-1.22,-1.06,-1.08,\N,36,\N,2019-07-05 17:02:14
ADMP,Health Care,Major Pharmaceuticals,59.78,1.28,2.21,0.579105,6,3.43,72,-0.23,-0.29,-0.21,-0.28,-0.19,\N,36,\N,2019-07-05 17:02:28
ADAP,Health Care,Biotechnology: Biological Products (No Diagnostic ,416.81,3.7,4.363,0.848,20,7.59,89,-0.24,-0.48,0.06,-0.36,-0.24,0,67,\N,2019-07-05 17:02:42
ADUS,Health Care,Medical/Nursing Services,986.19,77.26,67.039,1.15246,87,1.84,58,0.42,0.36,0.28,0.36,0.36,-0.428571,50,\N,2019-07-05 17:02:55
AEY,Consumer Services,Office Equipment/Supplies/Services,16.37,1.69,1.395,1.21163,92,0.34,30,-0.03,-0.15,-0.47,-0.1,-0.12,\N,36,\N,2019-07-05 17:03:09
IOTS,Technology,Semiconductors,231.22,8.4,6.394,1.31377,97,2.59,65,-0.05,-0.24,-0.29,-0.23,-0.24,\N,36,\N,2019-07-05 17:03:24
ADIL,Health Care,Major Pharmaceuticals,18.91,1.84,3.547,0.518801,5,\N,21,\N,\N,\N,\N,\N,\N,36,\N,\N
ADMA,Health Care,Biotechnology: Biological Products (No Diagnostic ,215.32,3.59,3.935,0.912272,27,13.41,94,-0.39,-0.35,-0.33,-0.39,-0.28,\N,36,\N,2019-07-05 17:03:39
ADBE,Technology,Computer Software: Prepackaged Software,140520,303.98,265.354,1.14556,86,14.4,95,1.33,1.34,1.37,1.36,1.29,-0.5,48,\N,2019-07-05 17:03:53
ADOM,Capital Goods,Auto Parts:O.E.M.,22.58,0.271,0.335,0.80914,16,4.67,81,-0.06,-0.06,-0.02,-0.01,-0.02,\N,36,\N,2019-07-05 17:04:08
ADTN,Public Utilities,Telecommunications Equipment,736.26,15.36,14.826,1.03604,60,1.32,51,-0.22,-0.16,0.16,-0.17,0.02,0.631579,91,\N,2019-07-05 17:04:23
ADRO,Health Care,Major Pharmaceuticals,143.28,1.54,3.196,0.481813,5,9.82,92,-0.28,-0.31,-0.29,-0.33,-0.29,\N,36,\N,2019-07-05 17:04:35
ADES,Basic Industries,Major Chemicals,228.08,13,11.899,1.09256,76,6.05,86,0.37,0.75,0.28,0.36,0.78,0.82,95,\N,2019-07-05 17:04:49
AEIS,Capital Goods,Industrial Machinery/Components,2060,55.29,51.089,1.08223,74,3.23,71,1.16,1.17,0.89,0.5,0.4,-0.987013,39,\N,2019-07-05 17:05:04
AMD,Technology,Semiconductors,31210,31.5,25.657,1.22773,93,5.59,84,0.08,0.11,0.09,0.04,0.01,-0.7,44,\N,2019-07-05 17:05:18
ADXS,Health Care,Major Pharmaceuticals,17.65,1.79,4.3,0.416302,4,0.75,40,-4.05,-4.05,-4.35,2.7,-1.59,0.348936,84,\N,2019-07-05 17:05:32
ADVM,Health Care,Biotechnology: Biological Products (No Diagnostic ,701.59,12.16,6.291,1.93283,100,545.05,100,-0.3,-0.3,-0.34,-0.24,-0.23,\N,36,\N,2019-07-05 17:05:46
AEGN,Basic Industries,Water Supply,532.82,18.22,17.552,1.03806,61,0.44,33,-0.06,0.24,-0.01,-0.08,-0.13,-0.189189,57,\N,2019-07-05 17:06:00
AGLE,Health Care,Major Pharmaceuticals,181.74,6.58,7.589,0.86707,21,81.15,99,-0.49,-0.46,-0.54,-0.64,-0.59,\N,36,\N,2019-07-05 17:06:14
AEHR,Capital Goods,Electrical Products,35.42,1.59,1.502,1.05833,67,1.61,55,0.01,0.01,-0.07,-0.03,-0.14,-1,39,\N,2019-07-05 17:06:29
AMTX,Basic Industries,Major Chemicals,17.32,0.902,0.933,0.966972,38,0.1,24,-0.51,-0.27,-0.29,-0.56,-0.48,\N,36,\N,2019-07-05 17:06:43
AERI,Health Care,Biotechnology: Biological Products (No Diagnostic ,1360,25.96,40.664,0.638396,8,34,98,-1.05,-1.4,-1.96,-1.14,-1.06,\N,36,\N,2019-07-05 17:06:59
AVAV,Capital Goods,Aerospace,1470,56.31,70.035,0.804028,16,4.26,78,0.77,1.14,0.25,0.35,0.24,-0.588889,46,\N,2019-07-05 17:07:14
ARPO,Health Care,Major Pharmaceuticals,35.72,0.9,1.887,0.476988,4,1.8,58,-0.27,-0.22,0.28,-0.21,-0.21,0.109091,73,\N,2019-07-05 17:07:29
AEZS,Health Care,Major Pharmaceuticals,43.44,2.9,3.66,0.792416,15,21.75,97,0.87,-0.16,-0.15,-0.32,-0.3,\N,36,\N,2019-07-05 17:07:42
AEMD,Capital Goods,Biotechnology: Laboratory Analytical Instruments,6.87,0.38,0.866,0.438977,4,35.66,98,-0.06,-0.06,-0.08,-0.11,-0.09,\N,36,\N,2019-07-05 17:07:58
GNMX,Health Care,Biotechnology: Biological Products (No Diagnostic ,11.15,0.18,0.223,0.808642,16,\N,21,\N,\N,\N,\N,\N,\N,36,\N,\N
AFMD,Health Care,Major Pharmaceuticals,167.31,2.91,3.454,0.842555,19,\N,21,\N,\N,\N,\N,\N,\N,36,\N,\N
AGBAU,Finance,Business Services,42.18,10.038,0,0,2,\N,21,\N,\N,\N,\N,\N,\N,36,\N,\N
