ACMR,Technology,Industrial Machinery/Components,248.46,\N,\N,3.12,\N,-0.18,0.18,0.21,0.13,0.1,\N,\N,\N,2019-07-05 17:01:19
ACNB,Finance,Major Banks,251.67,\N,\N,3.65,\N,0.7,0.78,0.86,0.75,0.83,\N,\N,\N,2019-07-05 17:01:33
ACOR,Health Care,Biotechnology: Biological Products (No Diagnostic ,339.58,\N,\N,0.87,\N,-0.18,0.98,-0.29,0.2,-1,\N,\N,\N,2019-07-05 17:01:46
ACTT,Finance,Business Services,291.9,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ACTTW,Finance,Business Services,15.01,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ATVI,Technology,Computer Software: Prepackaged Software,35390,\N,\N,4.94,\N,0.65,0.52,0.34,0.84,0.58,\N,\N,\N,2019-07-05 17:02:01
ADMS,Health Care,Major Pharmaceuticals,161.62,\N,\N,3.78,\N,-1.35,-1.26,-1.22,-1.06,-1.08,\N,\N,\N,2019-07-05 17:02:14
ADMP,Health Care,Major Pharmaceuticals,59.78,\N,\N,3.43,\N,-0.23,-0.29,-0.21,-0.28,-0.19,\N,\N,\N,2019-07-05 17:02:28
ADAP,Health Care,Biotechnology: Biological Products (No Diagnostic ,416.81,\N,\N,7.59,\N,-0.24,-0.48,0.06,-0.36,-0.24,\N,\N,\N,2019-07-05 17:02:42
ADUS,Health Care,Medical/Nursing Services,986.19,\N,\N,1.84,\N,0.42,0.36,0.28,0.36,0.36,\N,\N,\N,2019-07-05 17:02:55
AEY,Consumer Services,Office Equipment/Supplies/Services,16.37,\N,\N,0.34,\N,-0.03,-0.15,-0.47,-0.1,-0.12,\N,\N,\N,2019-07-05 17:03:09
IOTS,Technology,Semiconductors,231.22,\N,\N,2.59,\N,-0.05,-0.24,-0.29,-0.23,-0.24,\N,\N,\N,2019-07-05 17:03:24
ADIL,Health Care,Major Pharmaceuticals,18.91,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ADMA,Health Care,Biotechnology: Biological Products (No Diagnostic ,215.32,\N,\N,13.41,\N,-0.39,-0.35,-0.33,-0.39,-0.28,\N,\N,\N,2019-07-05 17:03:39
ADBE,Technology,Computer Software: Prepackaged Software,140520,\N,\N,14.4,\N,1.33,1.34,1.37,1.36,1.29,\N,\N,\N,2019-07-05 17:03:53
ADOM,Capital Goods,Auto Parts:O.E.M.,22.58,\N,\N,4.67,\N,-0.06,-0.06,-0.02,-0.01,-0.02,\N,\N,\N,2019-07-05 17:04:08
ADTN,Public Utilities,Telecommunications Equipment,736.26,\N,\N,1.32,\N,-0.22,-0.16,0.16,-0.17,0.02,\N,\N,\N,2019-07-05 17:04:23
ADRO,Health Care,Major Pharmaceuticals,143.28,\N,\N,9.82,\N,-0.28,-0.31,-0.29,-0.33,-0.29,\N,\N,\N,2019-07-05 17:04:35
ADES,Basic Industries,Major Chemicals,228.08,\N,\N,6.05,\N,0.37,0.75,0.28,0.36,0.78,\N,\N,\N,2019-07-05 17:04:49
AEIS,Capital Goods,Industrial Machinery/Components,2060,\N,\N,3.23,\N,1.16,1.17,0.89,0.5,0.4,\N,\N,\N,2019-07-05 17:05:04
AMD,Technology,Semiconductors,31210,\N,\N,5.59,\N,0.08,0.11,0.09,0.04,0.01,\N,\N,\N,2019-07-05 17:05:18
ADXS,Health Care,Major Pharmaceuticals,17.65,\N,\N,0.75,\N,-4.05,-4.05,-4.35,2.7,-1.59,\N,\N,\N,2019-07-05 17:05:32
ADVM,Health Care,Biotechnology: Biological Products (No Diagnostic ,701.59,\N,\N,545.05,\N,-0.3,-0.3,-0.34,-0.24,-0.23,\N,\N,\N,2019-07-05 17:05:46
AEGN,Basic Industries,Water Supply,532.82,\N,\N,0.44,\N,-0.06,0.24,-0.01,-0.08,-0.13,\N,\N,\N,2019-07-05 17:06:00
AGLE,Health Care,Major Pharmaceuticals,181.74,\N,\N,81.15,\N,-0.49,-0.46,-0.54,-0.64,-0.59,\N,\N,\N,2019-07-05 17:06:14
AEHR,Capital Goods,Electrical Products,35.42,\N,\N,1.61,\N,0.01,0.01,-0.07,-0.03,-0.14,\N,\N,\N,2019-07-05 17:06:29
AMTX,Basic Industries,Major Chemicals,17.32,\N,\N,0.1,\N,-0.51,-0.27,-0.29,-0.56,-0.48,\N,\N,\N,2019-07-05 17:06:43
AERI,Health Care,Biotechnology: Biological Products (No Diagnostic ,1360,\N,\N,34,\N,-1.05,-1.4,-1.96,-1.14,-1.06,\N,\N,\N,2019-07-05 17:06:59
AVAV,Capital Goods,Aerospace,1470,\N,\N,4.26,\N,0.77,1.14,0.25,0.35,0.24,\N,\N,\N,2019-07-05 17:07:14
ARPO,Health Care,Major Pharmaceuticals,35.72,\N,\N,1.8,\N,-0.27,-0.22,0.28,-0.21,-0.21,\N,\N,\N,2019-07-05 17:07:29
AEZS,Health Care,Major Pharmaceuticals,43.44,\N,\N,21.75,\N,0.87,-0.16,-0.15,-0.32,-0.3,\N,\N,\N,2019-07-05 17:07:42
AEMD,Capital Goods,Biotechnology: Laboratory Analytical Instruments,6.87,\N,\N,35.66,\N,-0.06,-0.06,-0.08,-0.11,-0.09,\N,\N,\N,2019-07-05 17:07:58
GNMX,Health Care,Biotechnology: Biological Products (No Diagnostic ,11.15,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
AFMD,Health Care,Major Pharmaceuticals,167.31,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
AGBAU,Finance,Business Services,42.18,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
AGEN,Health Care,Biotechnology: Biological Products (No Diagnostic ,408.15,\N,\N,3.18,\N,-0.53,-0.24,-0.29,-0.4,0.12,\N,\N,\N,2019-07-05 17:08:14
AGRX,Health Care,Major Pharmaceuticals,62.99,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
AGYS,Technology,EDP Services,495.51,\N,\N,3.72,\N,-0.01,-0.08,-0.16,-0.18,-0.16,\N,\N,\N,2019-07-05 17:11:48
AGIO,Health Care,Major Pharmaceuticals,2910,\N,\N,23.53,\N,-1.63,-1.19,-1.63,-1.58,-1.59,\N,\N,\N,2019-07-05 17:12:08
AGMH,Technology,EDP Services,541.52,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
AGNC,Consumer Services,Real Estate Investment Trusts,9040,\N,\N,127.83,\N,1.06,0.7,0.45,-1.61,0.47,\N,\N,\N,2019-07-05 17:12:48
AGNCB,Consumer Services,Real Estate Investment Trusts,9020,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
AGNCN,Consumer Services,Real Estate Investment Trusts,0.34008,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
AGFS,Finance,Business Services,80.27,\N,\N,0.47,\N,-0.26,-0.37,0.06,-0.04,-0.25,\N,\N,\N,2019-07-05 17:13:48
ALRN,Health Care,Major Pharmaceuticals,20.3,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
AIMT,Health Care,Major Pharmaceuticals,1220,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
AIRT,Transportation,Air Freight/Delivery Services,53.47,\N,\N,0.22,\N,0.51,0.92,-0.43,-0.89,0.83,\N,\N,\N,2019-07-05 17:14:11
ATSG,Transportation,Air Freight/Delivery Services,1350,\N,\N,1.33,\N,0.27,0.21,0.24,-0.09,0.25,\N,\N,\N,2019-07-05 17:14:34
AIRG,Technology,Radio And Television Broadcasting And Communicatio,137.64,\N,\N,2.3,\N,-0.12,-0.34,0.04,0.13,0.03,\N,\N,\N,2019-07-05 17:14:53
ANTE,Technology,Advertising,19.35,\N,\N,0.77,\N,-0.9,-0.5,-1.6,-0.8,14.5,\N,\N,\N,2019-07-05 17:15:11
AITB,Health Care,Medical/Dental Instruments,52.99,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
AKAM,Miscellaneous,Business Services,12750,\N,\N,4.82,\N,0.31,0.25,0.64,0.57,0.65,\N,\N,\N,2019-07-05 17:15:52
AKTX,Health Care,Major Pharmaceuticals,32.98,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
AKCA,Health Care,Major Pharmaceuticals,2150,\N,\N,9.56,\N,-0.44,-0.72,-0.73,-0.79,0.34,\N,\N,\N,2019-07-05 17:16:12
AKBA,Health Care,Major Pharmaceuticals,522.13,\N,\N,2.22,\N,-0.48,-0.6,-0.46,-0.76,-0.62,\N,\N,\N,2019-07-05 17:16:36
AKER,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Subst,6.12,\N,\N,2.78,\N,-0.24,-0.16,-0.26,-0.34,-0.07,\N,\N,\N,2019-07-05 17:16:55
AKRX,Health Care,Major Pharmaceuticals,585.2,\N,\N,0.93,\N,-0.23,-0.7,-0.56,-1.71,-0.65,\N,\N,\N,2019-07-05 17:17:19
AKTS,Public Utilities,Telecommunications Equipment,180.64,\N,\N,158.15,\N,-0.22,-0.31,-0.33,-0.24,-0.31,\N,\N,\N,2019-07-05 17:17:40
ALRM,Technology,Computer Software: Prepackaged Software,2540,\N,\N,5.68,\N,0.21,0.22,-0.16,0.16,0.18,\N,\N,\N,2019-07-05 17:18:02
ALSK,Public Utilities,Telecommunications Equipment,90.36,\N,\N,0.39,\N,0.04,0.06,0.03,0.03,0,\N,\N,\N,2019-07-05 17:18:27
ALAC,Finance,Business Services,147.78,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ALBO,Health Care,Major Pharmaceuticals,374.42,\N,\N,180.51,\N,-0.15,-1.22,-1.17,-1.34,-1.39,\N,\N,\N,2019-07-05 17:18:51
ALDR,Health Care,Major Pharmaceuticals,919.05,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ALDX,Health Care,Major Pharmaceuticals,170.72,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ALEC,Health Care,Biotechnology: Biological Products (No Diagnostic ,1230,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ALXN,Health Care,Major Pharmaceuticals,28060,\N,\N,6.77,\N,1.11,-2.05,1.47,-0.2,2.61,\N,\N,\N,2019-07-05 17:19:40
ALCO,Consumer Non-Durables,Farming/Seeds/Milling,225.15,\N,\N,2.45,\N,-0.67,1.09,0.09,-0.33,1.01,\N,\N,\N,2019-07-05 17:20:07
ALGN,Health Care,Industrial Specialties,22080,\N,\N,10.36,\N,1.17,1.3,1.24,1.2,0.89,\N,\N,\N,2019-07-05 17:20:27
ALIM,Health Care,Major Pharmaceuticals,65.32,\N,\N,1.24,\N,-0.11,-0.06,0.39,-0.02,-0.04,\N,\N,\N,2019-07-05 17:20:47
ALYA,Technology,Computer Software: Programming\, Data Processing,145.02,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ALJJ,Miscellaneous,Business Services,59.32,\N,\N,0.18,\N,-0.01,-0.08,0.03,0.02,0.01,\N,\N,\N,2019-07-05 17:21:14
ALKS,Health Care,Major Pharmaceuticals,3420,\N,\N,3.19,\N,-0.4,-0.21,-0.22,-0.06,-0.62,\N,\N,\N,2019-07-05 17:21:36
ALLK,Health Care,Major Pharmaceuticals,1740,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ABTX,Finance,Major Banks,692.32,\N,\N,4.73,\N,0.57,0.55,0.65,0.59,0.58,\N,\N,\N,2019-07-05 17:22:09
ALGT,Transportation,Air Freight/Delivery Services,2190,\N,\N,1.37,\N,3.42,3.1,0.94,2.56,3.52,\N,\N,\N,2019-07-05 17:22:43
ALGR,Finance,Business Services,191.74,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ALNA,Health Care,Biotechnology: Biological Products (No Diagnostic ,92.63,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ARLP,Energy,Coal Mining,2170,\N,\N,1.08,\N,1.16,0.64,0.55,0.38,2.12,\N,\N,\N,2019-07-05 17:23:17
LNT,Public Utilities,Power Generation,11820,\N,\N,3.26,\N,0.52,0.43,0.87,0.36,0.53,\N,\N,\N,2019-07-05 17:23:37
