A,68.700,75.165,0.913984
AA,23.110,26.252,0.880304
AABA,70.260,70.013,1.003531
AAC,0.959,1.849,0.518554
AAL,33.080,32.989,1.002763
AAMC,11.700,25.221,0.463902
AAME,2.410,2.539,0.949361
AAN,63.300,54.914,1.152720
AAOI,9.620,12.383,0.776878
AAON,51.170,44.718,1.144274
AAP,156.930,161.567,0.971301
AAPL,202.590,186.392,1.086903
AAT,45.820,45.159,1.014644
AAU,0.640,0.602,1.063150
AAWW,42.740,46.845,0.912361
AAXN,65.920,59.537,1.107212
AB,30.220,29.372,1.028880
ABB,18.960,19.395,0.977570
ABBV,68.540,78.749,0.870361
ABC,85.520,80.822,1.058132
ABCB,37.780,37.202,1.015539
ABEO,3.740,6.631,0.564005
ABEV,4.800,4.579,1.048157
ABG,84.440,75.253,1.122075
ABIL,0.869,1.543,0.563055
ABIO,6.900,7.444,0.926963
ABM,41.360,37.053,1.116242
ABMD,260.470,293.167,0.888468
ABR,12.110,12.637,0.958313
ABT,87.490,77.954,1.122336
ABTX,33.510,35.212,0.951667
ABUS,1.730,3.040,0.568993
AC,38.650,39.828,0.970415
ACA,36.440,33.043,1.102799
ACAD,25.700,25.041,1.026317
ACAM,9.750,0.000,
ACB,6.840,7.992,0.855825
ACBI,17.080,17.896,0.954422
ACC,47.780,46.454,1.028553
ACCO,7.870,8.431,0.933410
ACER,3.090,19.307,0.160045
ACGL,37.580,33.240,1.130568
ACH,8.350,9.358,0.892240
ACHC,31.680,30.885,1.025747
ACHN,2.380,2.737,0.869679
ACHV,1.890,2.774,0.681222
ACIA,64.750,51.748,1.251258
ACIU,5.600,5.443,1.028878
ACIW,33.950,32.353,1.049348
ACLS,15.330,18.721,0.818873
ACM,36.510,32.365,1.128064
ACMR,18.260,14.946,1.221735
ACN,193.930,172.493,1.124280
ACNB,37.200,37.522,0.991407
ACOR,6.900,11.786,0.585443
ACRE,14.850,14.920,0.995278
ACRS,1.990,5.545,0.358870
ACRX,2.720,2.943,0.924378
ACST,1.710,1.020,1.677224
ACTG,2.820,3.083,0.914814
ACTT,9.800,0.000,
ACTTW,0.780,0.000,
ACU,20.070,18.889,1.062523
ACY,8.150,10.157,0.802388
ADAP,3.270,4.201,0.778359
ADBE,306.870,271.429,1.130571
ADC,63.160,66.032,0.956502
ADES,12.520,12.068,1.037466
ADI,115.780,106.512,1.087011
ADIL,1.960,3.228,0.607156
ADM,40.250,41.996,0.958413
ADMA,3.890,4.019,0.967891
ADMP,1.170,2.132,0.548784
ADMS,6.000,7.093,0.845884
ADNT,21.980,19.555,1.124025
ADOM,0.250,0.333,0.750441
ADP,166.460,156.434,1.064091
ADRO,1.420,3.095,0.458765
ADS,151.560,159.577,0.949759
ADSK,169.310,161.790,1.046482
ADSW,32.340,29.413,1.099503
ADT,6.230,6.731,0.925559
ADTN,11.530,15.103,0.763402
ADUS,76.770,67.887,1.130853
ADVM,13.970,7.178,1.946096
ADXS,1.270,4.084,0.310993
AE,31.530,36.951,0.853296
AEE,75.980,72.629,1.046140
AEG,5.050,5.015,1.007063
AEGN,17.930,17.619,1.017625
AEHR,1.590,1.509,1.053726
AEIS,55.560,51.867,1.071198
AEL,26.530,29.221,0.907895
AEM,53.550,44.092,1.214498
AEMD,0.300,0.776,0.386431
AEO,18.220,20.110,0.906027
AEP,90.280,84.211,1.072072
AER,50.850,47.755,1.064818
AERI,23.120,39.664,0.582892
AES,17.220,17.023,1.011597
AETI,0.900,0.810,1.111530
AEY,1.710,1.416,1.207927
AEYE,6.950,9.087,0.764808
AEZS,2.500,3.617,0.691089
AFG,103.790,99.310,1.045110
AFH,0.580,3.419,0.169632
AFI,8.740,12.635,0.691702
AFIN,11.570,11.043,1.047732
AFINP,25.550,0.000,
AFL,55.000,50.835,1.081941
AFMD,3.100,3.433,0.902996
AG,9.900,6.514,1.519917
AGBAU,10.020,0.000,
AGCO,75.750,69.512,1.089735
AGE,2.810,3.925,0.715972
AGEN,2.460,2.932,0.838978
AGFS,1.570,3.068,0.511706
AGI,6.750,4.975,1.356773
AGIO,46.770,55.105,0.848751
AGLE,7.000,7.482,0.935638
AGM,74.070,73.733,1.004565
AGMH,16.900,20.680,0.817216
AGN,163.160,144.245,1.131129
AGNC,17.340,17.557,0.987643
AGNCB,25.920,25.513,1.015970
AGNCN,26.130,25.856,1.010605
AGO,43.680,43.211,1.010859
AGR,49.170,50.160,0.980260
AGRO,6.790,6.964,0.975008
AGRX,1.280,1.274,1.004415
AGS,19.410,22.773,0.852312
AGTC,3.880,3.847,1.008692
AGX,40.880,45.768,0.893203
AGYS,22.960,20.241,1.134323
AHC,3.670,3.851,0.952963
AHH,16.690,15.870,1.051700
AHPI,1.640,1.804,0.909299
AHT,2.470,4.595,0.537554
AI,6.510,7.668,0.849032
AIG,55.940,47.630,1.174474
AIHS,1.140,3.941,0.289270
AIMC,33.680,32.894,1.023882
AIMT,18.340,21.635,0.847708
AIN,78.890,74.412,1.060178
AINC,30.520,50.091,0.609295
AIR,42.160,34.981,1.205221
AIRG,13.290,13.386,0.992849
AIRI,1.050,1.129,0.929832
AIRT,17.510,19.110,0.916268
AIT,57.280,58.509,0.978987
AITB,5.370,5.028,1.067990
AIV,49.620,49.838,0.995621
AIZ,111.160,99.590,1.116178
AIZP,115.350,106.884,1.079207
AJG,91.810,81.882,1.121247
AJRD,44.510,38.114,1.167804
AJX,13.620,13.450,1.012651
AKAM,83.450,74.300,1.123148
AKBA,3.880,6.053,0.640966
AKCA,22.000,26.227,0.838822
AKER,0.420,0.835,0.503293
AKG,0.790,0.655,1.206458
AKR,26.820,27.932,0.960200
AKRX,3.840,3.936,0.975564
AKS,2.410,2.540,0.948790
AKTS,5.520,6.650,0.830123
AKTX,2.250,2.572,0.874912
AL,40.920,37.750,1.083969
ALAC,10.120,9.993,1.012758
ALB,74.470,77.139,0.965399
ALBO,28.220,30.538,0.924099
ALC,60.080,38.952,1.542421
ALCO,31.400,28.761,1.091765
ALDR,9.820,12.462,0.788009
ALDX,5.270,7.690,0.685323
ALE,85.920,81.492,1.054334
ALEC,18.840,0.000,
ALEX,23.120,23.531,0.982544
ALG,97.600,96.179,1.014772
ALGN,281.210,275.789,1.019655
ALGR,10.100,9.964,1.013676
ALGT,143.890,136.299,1.055691
ALIM,0.870,0.971,0.896413
ALJJ,1.600,1.581,1.011778
ALK,63.490,61.259,1.036417
ALKS,23.270,29.391,0.791733
ALL,101.410,95.796,1.058603
ALLE,107.590,96.025,1.120433
ALLK,31.580,40.065,0.788209
ALLO,28.010,28.375,0.987130
ALLT,7.670,7.415,1.034363
ALLY,33.050,28.480,1.160470
ALNA,4.530,6.132,0.738782
ALNY,75.370,79.368,0.949630
ALO,0.900,0.741,1.214337
ALOT,24.540,23.031,1.065524
ALPN,4.720,5.890,0.801336
ALRM,52.200,60.634,0.860902
ALRN,0.542,1.365,0.397103
ALSK,1.870,1.785,1.047597
ALSN,45.920,46.419,0.989260
ALT,2.350,2.790,0.842305
ALTM,3.540,5.789,0.611552
ALTR,41.400,36.598,1.131216
ALV,71.890,74.650,0.963031
ALX,371.970,369.570,1.006494
ALXN,120.800,127.657,0.946287
ALYA,2.830,2.938,0.963185
AM,10.980,12.810,0.857133
AMAG,8.740,12.294,0.710896
AMAL,17.200,17.256,0.996727
AMAT,47.810,41.002,1.166054
AMBA,48.220,42.915,1.123613
AMBC,17.520,17.987,0.974048
AMBO,2.840,5.192,0.547021
AMBR,13.050,10.454,1.248366
AMC,10.540,13.312,0.791786
AMCI,9.980,9.332,1.069450
AMCR,11.270,10.834,1.040283
AMCX,54.300,58.536,0.927639
AMD,32.510,26.746,1.215494
AME,88.710,82.614,1.073794
AMED,127.750,122.363,1.044026
AMEH,15.330,18.279,0.838653
AMG,88.370,100.822,0.876491
AMGN,178.390,183.867,0.970211
AMH,24.880,23.369,1.064658
AMID,5.240,4.779,1.096427
AMKR,7.620,8.053,0.946279
AMN,54.460,52.993,1.027692
AMNB,36.360,35.287,1.030407
AMOT,40.170,38.272,1.049587
AMOV,14.950,14.865,1.005741
AMP,148.660,137.335,1.082462
AMPE,0.420,0.540,0.778218
AMPH,19.380,21.558,0.898957
AMR,0.154,0.394,0.390500
AMRB,13.170,13.022,1.011361
AMRC,14.110,15.434,0.914235
AMRH,0.349,0.329,1.062393
AMRK,12.081,12.325,0.980207
