A,71.650,75.092,0.954164
AA,22.600,26.458,0.854188
AABA,69.770,69.659,1.001600
AAC,1.200,1.892,0.634283
AAL,33.780,32.950,1.025178
AAMC,11.500,25.894,0.444123
AAME,2.290,2.552,0.897448
AAN,63.440,54.217,1.170120
AAOI,9.970,12.619,0.790078
AAON,51.240,44.167,1.160154
AAP,158.580,161.691,0.980759
AAPL,203.300,184.352,1.102783
AAT,47.450,44.929,1.056100
AAU,0.650,0.607,1.071069
AAWW,42.880,46.931,0.913680
AAXN,64.500,58.921,1.094682
AB,30.490,29.280,1.041328
ABB,18.910,19.419,0.973781
ABBV,70.280,79.525,0.883744
ABC,89.850,80.365,1.118025
ABCB,38.950,37.067,1.050801
ABEO,4.180,6.758,0.618490
ABEV,4.840,4.564,1.060445
ABG,84.500,74.703,1.131141
ABIL,0.900,1.584,0.568313
ABIO,6.840,7.436,0.919827
ABM,41.190,36.773,1.120128
ABMD,262.690,295.614,0.888624
ABR,12.420,12.591,0.986401
ABT,83.920,77.313,1.085459
ABTX,34.110,35.283,0.966751
ABUS,2.400,3.115,0.770456
AC,38.500,39.800,0.967337
ACA,36.030,32.781,1.099115
ACAD,27.230,24.769,1.099354
ACAM,9.760,0.000,
ACB,6.770,7.928,0.853975
ACBI,17.410,17.924,0.971308
ACC,48.830,46.205,1.056809
ACCO,7.750,8.438,0.918504
ACER,3.400,20.082,0.169307
ACGL,38.290,32.798,1.167435
ACH,8.250,9.360,0.881389
ACHC,33.510,30.683,1.092123
ACHN,2.500,2.720,0.919221
ACHV,1.760,2.752,0.639538
ACIA,64.400,50.833,1.266888
ACIU,5.400,5.632,0.958848
ACIW,34.810,32.085,1.084929
ACLS,15.160,18.820,0.805506
ACM,37.370,32.045,1.166180
ACMR,16.510,14.681,1.124572
ACN,196.210,170.573,1.150299
ACNB,37.770,37.549,1.005898
ACOR,6.620,12.165,0.544162
ACRE,15.180,14.874,1.020554
ACRS,2.180,5.752,0.378985
ACRX,2.770,2.941,0.941883
ACST,1.420,1.000,1.420434
ACTG,2.820,3.093,0.911653
ACTT,9.770,0.000,
ACTTW,0.680,0.000,
ACU,21.100,18.731,1.126480
ACY,8.680,10.205,0.850573
ADAP,3.450,4.294,0.803395
ADBE,309.420,268.533,1.152262
ADC,65.400,65.843,0.993270
ADES,12.860,11.993,1.072308
ADI,116.200,105.359,1.102895
ADIL,1.970,3.393,0.580663
ADM,41.920,42.069,0.996460
ADMA,4.070,3.992,1.019611
ADMP,1.400,2.178,0.642922
ADMS,6.000,7.224,0.830590
ADNT,22.090,19.391,1.139189
ADOM,0.270,0.335,0.805566
ADP,165.130,155.122,1.064518
ADRO,1.490,3.150,0.472959
ADS,149.600,160.052,0.934698
ADSK,174.190,160.342,1.086368
ADSW,32.370,29.105,1.112184
ADT,6.360,6.755,0.941509
ADTN,15.720,15.006,1.047579
ADUS,77.080,67.472,1.142405
ADVM,14.970,6.745,2.219409
ADXS,1.565,4.232,0.369830
AE,32.610,37.314,0.873946
AEE,76.160,72.179,1.055151
AEG,5.140,5.007,1.026589
AEGN,17.920,17.614,1.017370
AEHR,1.500,1.505,0.996501
AEIS,53.490,51.470,1.039245
AEL,27.430,29.314,0.935722
AEM,51.890,43.605,1.190008
AEMD,0.330,0.821,0.401990
AEO,16.790,20.169,0.832472
AEP,90.250,83.552,1.080163
AER,50.940,47.475,1.072987
AERI,26.170,40.266,0.649924
AES,17.080,16.930,1.008837
AETI,1.020,0.799,1.277072
AEY,1.640,1.405,1.166974
AEYE,7.270,9.121,0.797062
AEZS,2.810,3.650,0.769863
AFG,105.220,98.800,1.064977
AFH,0.650,3.754,0.173164
AFI,9.760,12.804,0.762291
AFIN,11.440,11.121,1.028678
AFINP,25.370,0.000,
AFL,56.890,50.429,1.128115
AFMD,3.130,3.447,0.907939
AG,7.800,6.399,1.218852
AGBAU,10.050,0.000,
AGCO,77.620,68.891,1.126710
AGE,3.010,3.963,0.759603
AGEN,2.690,2.959,0.909159
AGFS,1.590,3.158,0.503456
AGI,6.210,4.874,1.274235
AGIO,45.200,55.276,0.817709
AGLE,6.690,7.540,0.887322
AGM,75.020,73.442,1.021485
AGMH,16.160,21.110,0.765531
AGN,165.850,143.509,1.155680
AGNC,17.270,17.575,0.982652
AGNCB,25.590,25.489,1.003981
AGNCN,25.960,25.837,1.004770
AGO,43.640,43.026,1.014261
AGR,49.930,50.142,0.995775
AGRO,7.070,6.976,1.013493
AGRX,1.289,1.255,1.027348
AGS,21.170,22.907,0.924189
AGTC,3.670,3.813,0.962522
AGX,41.130,45.719,0.899633
AGYS,23.230,19.912,1.166616
AHC,3.610,3.871,0.932688
AHH,16.600,15.786,1.051593
AHPI,1.830,1.811,1.010496
AHT,2.530,4.673,0.541384
AI,6.480,7.718,0.839619
AIG,56.270,47.054,1.195861
AIHS,1.870,4.036,0.463287
AIMC,33.530,32.680,1.026024
AIMT,19.000,21.900,0.867592
AIN,81.100,73.878,1.097756
AINC,27.990,50.889,0.550016
